EU_circo;code_région;nom_région;chef-lieu_région;numéro_département;nom_département;préfecture;numéro_circonscription;nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Malafretaz;01340;01229;46.316667;5.15;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Mantenay-Montlin;01560;01230;46.416667;5.083333;2.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Marboz;01851;01232;46.333333;5.25;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Marsonnas;01340;01236;46.333333;5.066667;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Meillonnas;01370;01241;46.25;5.35;1.08
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Montagnat;01250;01254;46.166667;5.283333;1.62
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Montcet;01310;01259;46.2;5.116667;0.78
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Montracol;01310;01264;46.183333;5.116667;0.99
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Montrevel-en-Bresse;01340;01266;46.333333;5.133333;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Neuville-sur-Ain;01160;01273;46.083333;5.366667;1.28
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Péronnas;01960;01289;46.183333;5.2;0.6
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Pirajoux;01270;01296;46.383333;5.3;1.81
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Polliat;01310;01301;46.25;5.133333;1.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Pont-d'Ain;01160;01304;46.05;5.333333;0.52
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Pouillat;01250;01309;46.333333;5.433333;2.18
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Pressiat;01370;01312;46.333333;5.383333;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Priay;01160;01314;46;5.283333;1.73
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Ramasse;01250;01317;46.2;5.35;0.7
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Revonnas;01250;01321;46.166667;5.333333;0.93
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-André-sur-Vieux-Jonc;01240;01336;46.15;5.066667;1.04
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Denis-lès-Bourg;01000;01344;46.2;5.2;1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Didier-d'Aussiat;01340;01346;46.3;5.066667;1.33
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Etienne-du-Bois;01370;01350;46.283333;5.283333;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Jean-sur-Reyssouze;01560;01364;46.4;5.066667;1.91
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Julien-sur-Reyssouze;01560;01367;46.4;5.116667;1.91
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Just;01250;01369;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Martin-du-Mont;01160;01374;46.1;5.333333;0.94
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Martin-le-Châtel;01310;01375;46.283333;5.116667;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Nizier-le-Bouchoux;01560;01380;46.45;5.15;2.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Rémy;01310;01385;46.183333;5.166667;1.47
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Sulpice;01340;01387;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Saint-Trivier-de-Courtes;01560;01388;46.466667;5.083333;2.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Salavre;01270;01391;46.366667;5.35;1.71
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Servas;01240;01405;46.133333;5.166667;0.69
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Servignat;01560;01406;46.433333;5.066667;2.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Simandre-sur-Suran;01250;01408;46.216667;5.416667;0.8
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Tossiat;01250;01422;46.133333;5.316667;1.44
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Treffort-Cuisiat;01370;01426;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Vandeins;01660;01429;46.216667;5.083333;0.89
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Varambon;01160;01430;46.033333;5.316667;0.74
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Verjon;01270;01432;46.35;5.35;1.61
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Vernoux;01560;01433;46.483333;5.116667;2.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Vescours;01560;01437;46.466667;5.033333;2.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Villemotier;01270;01445;46.35;5.316667;1.61
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Villereversure;01250;01447;46.183333;5.383333;0.6
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;1;Viriat;01440;01451;46.25;5.216667;1.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Ambérieu-en-Bugey;01500;01004;45.95;5.35;0.8
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Ambronay;01500;01007;46;5.35;1.34
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Ambutrix;01500;01008;45.933333;5.333333;0.9
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Apremont;01100;01011;46.208333;5.658333;1.46
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Arbent;01100;01014;46.3;5.683333;1.39
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Balan;01360;01027;45.833333;5.1;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Béligneux;01360;01032;45.866667;5.116667;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Belleydoux;01130;01035;46.25;5.766667;1.72
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Bellignat;01810;01031;46.25;5.616667;1.5
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Bettant;01500;01041;45.933333;5.366667;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Blyes;01150;01047;45.85;5.25;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Bolozon;01450;01051;46.2;5.483333;1.91
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Bourg-Saint-Christophe;01800;01054;45.883333;5.166667;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Boyeux-Saint-Jérôme;01640;01056;46.033333;5.466667;1.27
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Bressolles;01360;01062;45.866667;5.1;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Brion;01460;01063;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Ceignes;01430;01067;46.116667;5.5;1.08
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Cerdon;01450;01068;46.083333;5.466667;0.87
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Challes-la-Montagne;01450;01077;46.133333;5.466667;0.42
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Charix;01130;01087;46.183333;5.683333;1.16
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Charnoz-sur-Ain;01800;01088;45.866667;5.216667;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Château-Gaillard;01500;01089;45.966667;5.3;1.1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Chazey-sur-Ain;01150;01099;45.9;5.25;1.36
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Dagneux;01120;01142;45.85;5.066667;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Dortan;01590;01148;46.316667;5.666667;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Douvres;01500;01149;45.983333;5.366667;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Echallon;01130;01152;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Faramans;01800;01156;45.9;5.116667;1.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Géovreisset;01100;01171;46.25;5.6;1.24
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Géovreissiat;01460;01170;46.2;5.566667;0.76
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Groissiat;01810;01181;46.216667;5.6;0.87
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Izernore;01580;01192;46.216667;5.55;0.8
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Joyeux;01800;01198;45.95;5.1;1.55
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Jujurieux;01640;01199;46.033333;5.416667;0.72
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Labalme;01450;01200;46.1;5.483333;0.78
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;L'Abergement-de-Varey;01640;01002;46;5.416667;1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;La Boisse;01120;01049;45.85;5.033333;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Lagnieu;01150;01202;45.9;5.35;1.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Lalleyriat;01130;01204;46.15;5.716667;1.27
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Le Montellier;01800;01260;45.933333;5.066667;1.96
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Le Poizat;01130;01300;46.15;5.7;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Les Neyrolles;01130;01274;46.133333;5.633333;2
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Leyment;01150;01213;45.916667;5.3;1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Leyssard;01450;01214;46.166667;5.466667;1.08
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Loyettes;01360;01224;45.766667;5.2;2.27
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Maillat;01430;01228;46.133333;5.55;0.83
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Martignat;01810;01237;46.216667;5.6;0.87
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Matafelon-Granges;01580;01240;46.266667;5.566667;1.26
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Mérignat;01450;01242;46.066667;5.433333;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Meximieux;01800;01244;45.9;5.2;1.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Montluel;01120;01262;45.85;5.05;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Montréal-la-Cluse;01460;01265;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Nantua;01130;01269;46.15;5.616667;1.6
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Niévroz;01120;01276;45.833333;5.066667;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Nurieux-Volognat;01460;01267;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Oyonnax;01100;01283;46.25;5.666667;1.1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Pérouges;01800;01290;45.9;5.183333;1.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Peyriat;01430;01293;46.15;5.516667;1.35
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Pizay;01120;01297;45.883333;5.083333;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Poncin;01450;01303;46.083333;5.4;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Port;01460;01307;46.166667;5.566667;0.76
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Rignieux-le-Franc;01800;01325;45.933333;5.183333;0.9
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Alban;01450;01331;46.1;5.45;0.48
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Denis-en-Bugey;01500;01345;45.95;5.333333;0.8
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Sainte-Croix;01120;01342;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Sainte-Julie;01150;01366;45.883333;5.283333;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Eloi;01800;01349;45.933333;5.15;0.9
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Jean-de-Niost;01800;01361;45.833333;5.216667;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Jean-le-Vieux;01640;01363;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Martin-du-Frêne;01430;01373;46.133333;5.55;0.83
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Maurice-de-Gourdans;01800;01378;45.816667;5.2;1.61
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Maurice-de-Rémens;01500;01379;45.95;5.283333;1.6
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Sorlin-en-Bugey;01150;01386;45.883333;5.366667;1.21
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Saint-Vulbas;01150;01390;45.833333;5.283333;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Samognat;01580;01392;46.25;5.583333;1.38
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Sault-Brénaz;01150;01396;45.85;5.416667;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Serrières-sur-Ain;01450;01404;46.15;5.45;0.68
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Sonthonnax-la-Montagne;01580;01410;46.233333;5.533333;0.91
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Souclin;01150;01411;45.866667;5.416667;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Vaux-en-Bugey;01150;01431;45.916667;5.35;1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Villebois;01150;01444;45.85;5.433333;1.54
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;2;Villieu-Loyes-Mollon;01800;01450;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Ambléon;01300;01006;45.75;5.6;2.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Andert-et-Condon;01300;01009;45.8;5.65;1.71
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Anglefort;01350;01010;45.916667;5.808333;-1
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Aranc;01110;01012;46;5.5;1.01
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Arandas;01230;01013;45.9;5.483333;1.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Arbignieu;01300;01015;45.733333;5.65;2.11
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Argis;01230;01017;45.933333;5.483333;0.9
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Armix;01510;01019;45.85;5.583333;1.41
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Artemare;01510;01022;45.866667;5.7;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Bellegarde-sur-Valserine;01200;01033;46.1;5.816667;1.61
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Belley;01300;01034;45.766667;5.683333;1.91
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Belmont-Luthézieu;01260;01036;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Bénonces;01470;01037;45.833333;5.483333;1.7
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Béon;01350;01039;45.833333;5.75;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Billiat;01200;01044;46.066667;5.783333;1.5
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Brégnier-Cordon;01300;01058;45.65;5.616667;2.61
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Brénaz;01260;01059;45.95;5.716667;1.27
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Brénod;01110;01060;46.066667;5.6;1.36
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Brens;01300;01061;;;
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Briord;01470;01064;45.783333;5.466667;1.81
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Cessy;01170;01071;46.316667;6.066667;2.46
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Ceyzérieu;01350;01073;45.833333;5.733333;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Chaley;01230;01076;45.95;5.533333;1.58
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Challex;01630;01078;46.183333;5.966667;2.12
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Champagne-en-Valromey;01260;01079;45.9;5.683333;1.17
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Champdor;01110;01080;46.016667;5.6;0.87
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Champfromier;01410;01081;46.2;5.816667;1.61
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Chanay;01420;01082;46;5.783333;1.5
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Châtillon-en-Michaille;01200;01091;46.133333;5.783333;1.5
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Chavornay;01510;01097;45.883333;5.7;1.31
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Chazey-Bons;01300;01098;45.8;5.683333;1.71
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Cheignieu-la-Balme;01510;01100;45.833333;5.616667;1.51
Sud-Est;82;Rhône-Alpes;Lyon;01;Ain;Bourg-en-Bresse;3;Chevillard;01430;01101;46.116667;5.583333;1.08
